Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
TARGET-30-PAPUEB-01	0.3851279425748388	0.02857747663147155	0	0.1467720261571157	0	0	0	0.2003905793662267	0.03867104691451131	0	0	0.05251604934505615	0.023342473778453575	0.010023623948075046	0	0.1014013135634641	0	0	0.013177467720787086	0	0	0	0	0.5063714041916451	0.865878790341062
TARGET-30-PAPUWY-01	0.051825579148801794	0	0.055084488345958645	0.1690966477135229	0	0	0	0.04692631076987941	0.013975016071160504	0	0	0.08902691571861755	0.07977275983010712	0.03238765801706265	0.24116115310716935	0.17080995053110473	0.010055475371463904	0	0.03987804537515149	0	0	0	0.04	0.22258743985921284	1.0222903188714016
TARGET-30-PAPVFD-01	0.1317245337241155	0.06850673851335867	0.03346170898834637	0.17754042483807508	0.2330678498902033	0	0	0.0022552588908465693	0.04718863490789991	0	0.03819612172945798	0	0.02996855901950477	0.04530208863454118	0.021234616585118618	0.17155346427853205	0	0	0	0	0	0	0.046	0.20586638909616542	1.014889600033733
TARGET-30-PAPVXS-01	0.0026374165596574897	0	0.16670485953559203	0.06073252250143203	0	0.10082133584894978	0.05199132020890383	0.02647701581387122	0	0	0.04819450174247589	0.022232253167686844	0.04383848375996572	0.025716338748839388	0.25311349735091543	0.1742526144268445	0.005372487833560768	0	0	0.017915352501305055	0	0	0.018	0.3123855749880094	0.97686474470315
TARGET-30-PARACS-01	0	0.035959100799794	0.22015249835425593	0.11885014062077855	0	0.045556056407099095	0	0.2361642238451936	0	0	0	0.03171968798973233	0	0.06686777585544847	0.07029758195477519	0.10185733548547121	0.019433950680354167	0	0	0.053141648007097524	0	0	0.04	0.2247484678527501	1.006799521444949
TARGET-30-PARBGP-01	0.0770035897037771	0.11763000655499058	0.08390070570916734	0.10125117585617752	0.06289745331174167	0	0	0.013818844963297576	0.027358194054961975	0	0	0.052363418408425316	0	0.11915212846512281	0.03490446950412144	0.2990782625245984	0	0	0.0106417509436183	0	0	0	0.006	0.3791862351560074	0.9275423335080807
TARGET-30-PARDIW-01	0.11801867691709556	0.056860975315371896	0.05523519911842378	0.14649155860456003	0	0.014668004780598015	0	0.11946043705684123	0.03049815505441852	0	0	0.07781139736620764	0.03129261241449075	0.151665625946924	0.002046565791327499	0.18722602837259011	0	0	0.008724763261151016	0	0	0	0.046	0.20331178732187546	1.0102591667081657
TARGET-30-PARFWB-01	0	0.10849945348536326	0.13225938661960798	0.05264618106203023	0.04893089668402015	0	0	0.09942821486554342	0.04427521581936295	0	0	0.058657863113893004	0	0.07209599388043358	0.006979094611911646	0.1482351786211288	0.1436662060942987	0	0	0.0842792374372562	0	0	0.008	0.3499292768688285	0.9384162475837784
TARGET-30-PARGKK-01	0	0.004947957195533206	0.002342798394720851	0.039175373890179215	0.13648887454873126	0	0	0.01694518312588081	0	0	0.08619826379885445	0	0.05464706292275347	0	0	0.5538727846306547	0	0.043287231957832684	0.06209446953485937	0	0	0	0.738	-0.0135	1.1117333406654955
TARGET-30-PARHAM-01	0	0.04151623979468605	0.03405998959509504	0	0	0.25578485303270776	0	0.043381264534870616	0	0	0	0.16408114782570765	0.04656188555852984	0	0	0.3808823151745397	0	0	0.03373230448386336	0	0	0	0.982	-0.0501	1.1248383941044378
