	antecedent	consequent	confidence	lift
19981	2,19,24,44	4	0.9556786703601108	1.4600057735656682
19982	24,29,31,37,59	57	0.9857142857142858	1.458984195181832
19983	32,33,35,44	18	0.9610027855153204	1.4254702243704107
19984	19,32,60	35	0.9506849315068493	1.4086492856090735
19985	36,38,57,61	31	0.9802816901408451	1.4509432535059983
19986	39,48	45	0.9234567901234568	1.3697776714640728
19987	18,38,51,66	37	0.9828815977175464	1.4547914518311265
19988	22,57	26	0.9066496163682864	1.3434012595220417
19989	33,44,47,58	35	0.9790209790209791	1.4506353861192574
19990	8,20,44	35	0.9569444444444445	1.4179241338112307
19991	29,35,36	45	0.956989247311828	1.419516881373196
19992	12,29,39	59	0.9543568464730291	1.4125711433295747
19993	29,46,68	50	0.9412568306010929	1.3931814313300814
19994	33,40,58	18	0.9582753824756607	1.4214246254590532
19995	23,36,37,59	18	0.9786931818181818	1.451710661512868
19996	19,31,40,59	57	0.9828815977175464	1.4547914518311265
19997	18,31,35	6	0.9305373525557011	1.3983429354653831
19998	2,38,51,57	59	0.9815602836879432	1.452835736758309
19999	3,12,64	35	0.9625520110957004	1.4262329798815863
20000	38,40,60	57	0.9732016925246827	1.4404639444672531
20001	29,31,48	45	0.9518072289156626	1.4118303137198958
20002	9,35,36,51	31	0.9746121297602257	1.442551573372278
20003	40,58,64	18	0.9623955431754875	1.4275361232463097
20004	19,24,53	6	0.9297082228116711	1.3970969804083782
20005	16,31,47,60	35	0.9624478442280946	1.4260786337057145
20006	39,54,57,64	18	0.9705882352941176	1.4396884695751282
20007	12,32,36	35	0.9623955431754875	1.4260011381675504
20008	3,31,54,57	23	0.9596100278551533	1.4218737832090336
20009	15,31,54,57	18	0.9682758620689655	1.4362584907761407
20010	33,38,39,66	57	0.9786931818181818	1.4485920564398007
20011	25,51,68	69	0.9691011235955056	1.4343945739147226
20012	24,40,59	6	0.9498644986449865	1.4273863458372862
20013	22,31,54	18	0.9609483960948396	1.425389547705801
20014	3,35,54,57	59	0.9800853485064012	1.450652642579829
20015	6,15,58	31	0.9649859943977591	1.4283036522879828
20016	18,35,39,58	64	0.9746121297602257	1.442551573372278
20017	32,39,47	18	0.9504132231404959	1.4097625634958055
20018	3,39,59	23	0.9534246575342465	1.4127087936367655
20019	21,38,44	24	0.9611650485436893	1.4226481599282532
20020	16,52	14	0.9030144167758847	1.3540303224343515
20021	23,31,35,44	18	0.9677871148459384	1.4355335244969893
20022	51,52,64	18	0.9650837988826816	1.4315236543168302
20023	32,39,58	60	0.9611111111111111	1.4240979689366788
20024	45,47,59	35	0.9699453551912568	1.4371878488747871
20025	24,29,47,59	38	0.9759547383309759	1.4445388071107248
20026	30,54,65	17	0.9544827586206897	1.4142766036336671
20027	31,32,33,35,53	47	0.9828815977175464	1.4547914518311265
20028	4,23,42	15	0.9746478873239437	1.442604499175504
20029	12,28,55	18	0.9732016925246827	1.4435650509138997
20030	36,51,58	30	0.928	1.375036559139785
20031	8,33,35,44	43	0.9649859943977591	1.4283036522879828
20032	31,37,38,57,66	47	0.9774011299435028	1.4466796531279773
20033	18,63,69	65	0.9623430962343096	1.4259234264633105
20034	55,65,68	21	0.947945205479452	1.4061017149092412
20035	24,38,39,51	57	0.9857549857549858	1.4590444364880455
20036	12,24,52	44	0.9544198895027625	1.412664455139427
20037	19,47,57,64	44	0.9706703910614525	1.4367172920329554
20038	22,35	26	0.9053030303030303	1.3414059954382536
20039	52,67	14	0.9141025641025641	1.3706565107000361
20040	38,41,45	29	0.9651324965132496	1.428520494302103
20041	29,36,53,58	39	0.9705056179775281	1.436473406630541
20042	36,39,51,53,59	31	0.9828815977175464	1.4547914518311265
20043	36,46,66	51	0.9585062240663901	1.418712756996225
20044	44,51,54	30	0.9364005412719891	1.3874838127664528
20045	30,54,55	43	0.9452054794520548	1.3990259405853185
20046	8,19,57,59	47	0.9745403111739745	1.4424452726076658
20047	39,53,54	30	0.9310810810810811	1.3796018599244406
20048	36,37,57	30	0.9220607661822986	1.3662362750529113
20049	25,38,54	18	0.9587912087912088	1.4221897585729664
20050	15,43,44	6	0.9288590604026845	1.3958209217392576
20051	18,38,53,59	35	0.9547325102880658	1.4146466657816719
20052	6,50,52	24	0.9623430962343096	1.424391822353253
20053	37,53,64,66	36	0.9774011299435028	1.4466796531279773
20054	19,25,64	24	0.9719101123595506	1.4385522393463595
20055	25,29,61	31	0.9719101123595506	1.4385522393463595
20056	10,34,57	65	0.9650837988826816	1.429984381570253
20057	22,29,52	45	0.9585062240663901	1.4217670363439028
20058	24,28,57,59	29	0.9623955431754875	1.4244694505862745
20059	10,25,28	65	0.9610027855153204	1.423937460688292
20060	16,31,44	35	0.957592339261286	1.4188841327979056
20061	50,63,69	65	0.96105702364395	1.4240178264315733
20062	19,24,37,44	31	0.9788135593220338	1.448770230661399
20063	3,36,38	23	0.9481582537517054	1.4049054555589786
20064	33,35,36,40	24	0.9773049645390071	1.4465373159342123
20065	19,23,36	3	0.9657064471879286	1.5104920365777135
20066	24,35,38,44,59	47	0.985734664764622	1.4590143588030602
20067	18,35,37,57,59	31	0.9858156028368794	1.4591341575824057
20068	9,31,38,51	47	0.9691011235955056	1.4343945739147226
20069	29,35,44,64	31	0.9814814814814815	1.4527190993356407
20070	24,29,37,57,59	31	0.9871244635193133	1.4610714400962552
20071	31,47,63,64	53	0.9747191011235955	1.4427099047779963
20072	12,18,23,37	31	0.9720670391061452	1.4387845111581827
20073	12,25,54	18	0.9628610729023384	1.4282266506559982
20074	8,17,43	35	0.9542936288088643	1.413996366127543
20075	18,31,38,54,64	47	0.9815078236130867	1.45275808908575
20076	39,55	30	0.9263565891472868	1.3726014837042595
20077	41,52,65	9	0.9442176870748299	1.418900733684968
20078	22,31,47,57	35	0.9704225352112676	1.4378948962592764
20079	3,11,40	18	0.9599447513812155	1.4239008260530839
20080	2,15,19,43	24	0.9677871148459384	1.4324496715979624
20081	39,50,52	46	0.9582753824756607	1.419896211883291
20082	18,53,61	23	0.9438356164383561	1.398500515539844
20083	15,53,57	18	0.9657534246575342	1.4325169205361488
20084	13,39,58	29	0.969187675070028	1.4345226812529521
20085	33,38,55	24	0.9665271966527197	1.430584830276528
20086	28,41,57	65	0.9597780859916782	1.4221227983833684
20087	25,34,66	37	0.9569444444444445	1.4164011218522496
20088	37,47,50,57	24	0.9690576652601969	1.4343302499769615
